SA2_NAME,All_Crashe
Melbourne,671
Dandenong,575
Preston,355
Richmond (Vic.),350
Southbank,309
Brunswick,297
St Kilda,282
Malvern - Glen Iris,253
Campbellfield - Coolaroo,248
Coburg,247
Epping,244
North Melbourne,243
East Melbourne,242
Footscray,227
Thomastown,221
Oakleigh - Huntingdale,215
Caulfield - North,213
Clayton,210
Croydon,208
Carlton,206
Essendon - Aberfeldie,205
South Yarra - East,204
Kew,201
Narre Warren,201
Mulgrave,199
Frankston,198
Prahran - Windsor,196
Broadmeadows,188
Brighton (Vic.),185
Ringwood,184
Glenroy - Hadfield,181
Fitzroy North,179
Malvern East,178
Emerald - Cockatoo,178
Laverton,177
Springvale,175
Altona North,174
Berwick - North,172
Deer Park - Derrimut,172
Camberwell,168
Heidelberg - Rosanna,167
Lilydale - Coldstream,167
Ferntree Gully,165
Hampton Park - Lynbrook,165
Dandenong North,164
South Melbourne,161
Noble Park,161
Parkville,160
Keysborough,159
Mornington,158