SA2_NAME,Night_Time
Melbourne,177
Dandenong,136
Southbank,92
Richmond (Vic.),91
St Kilda,82
Coburg,67
Preston,65
Thomastown,63
Prahran - Windsor,62
Campbellfield - Coolaroo,62
Brunswick,60
Essendon - Aberfeldie,58
Epping,58
Croydon,58
East Melbourne,55
Malvern - Glen Iris,53
Keilor,53
North Melbourne,52
Broadmeadows,51
Narre Warren,51
Mulgrave,51
South Yarra - East,50
Oakleigh - Huntingdale,50
Roxburgh Park - Somerton,49
Frankston,49
Hampton Park - Lynbrook,48
Footscray,48
Noble Park,46
Ferntree Gully,45
Dandenong North,45
Springvale,45
Kew,44
Ringwood,44
Keysborough,44
Deer Park - Derrimut,43
Melton,42
Laverton,42
Werribee,42
Craigieburn - Mickleham,41
Clayton,41
Sunshine North,41
Somerville,41
Abbotsford,40
Caulfield - North,40
Sunbury - South,40
Rockbank - Mount Cottrell,40
Doncaster,39
Glenroy - Hadfield,39
Emerald - Cockatoo,39
Blackburn,38