SA2_NAME,Pedestrian
Melbourne,204
St Kilda,70
Dandenong,70
Richmond (Vic.),65
Preston,65
Southbank,62
Coburg,47
Frankston,46
Brunswick,45
Footscray,44
Carlton,43
East Melbourne,42
North Melbourne,42
Prahran - Windsor,41
Camberwell,38
Clayton,38
Caulfield - North,36
Oakleigh - Huntingdale,35
Abbotsford,32
Fitzroy,32
Kew,32
Malvern - Glen Iris,31
Essendon - Aberfeldie,30
Bentleigh - McKinnon,29
St Albans - South,29
Parkville,28
Box Hill,28
Noble Park,28
Northcote,27
Sunshine,27
South Yarra - East,26
Hawthorn,26
Thornbury,25
South Melbourne,25
Fitzroy North,25
Brighton (Vic.),25
Glenroy - Hadfield,25
Springvale,25
South Yarra - West,24
Collingwood,24
Moonee Ponds,23
Toorak,23
Epping,23
Balwyn,22
Doncaster East,22
Cheltenham - Highett (East),22
Reservoir - East,22
Broadmeadows,22
Ashwood - Chadstone,22
Rosebud - McCrae,21