name,value
Melbourne,141
Dandenong,128
St Kilda,87
Richmond (Vic.),84
Preston,75
Southbank,73
Emerald - Cockatoo,71
Prahran - Windsor,64
Brunswick,61
Healesville - Yarra Glen,61
Croydon,56
Yarra Valley,56
Epping,55
Essendon - Aberfeldie,54
Campbellfield - Coolaroo,54
Mulgrave,52
Springvale,51
Frankston,51
Ringwood,50
Narre Warren,50
South Yarra - East,49
Brighton (Vic.),49
Malvern - Glen Iris,49
Lilydale - Coldstream,49
Somerville,49
Malvern East,48
Broadmeadows,48
Mornington,48
Coburg,47
North Melbourne,47
Craigieburn - Mickleham,47
Hampton Park - Lynbrook,47
Keysborough,47
Thomastown,46
Ferntree Gully,46
Noble Park,46
Footscray,46
Albert Park,45
Caulfield - North,45
Glenroy - Hadfield,45
Berwick - North,44
Kew,43
Northcote,41
East Melbourne,41
Belgrave - Selby,41
Point Nepean,41
Oakleigh - Huntingdale,40
St Albans - South,40
Werribee,40
Glen Waverley - East,39